1807
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 **missionsGiven
******************Mission 0
Main     **type
0     **missionType
none     **startStory
none     **middleStory
none     **endStory
(-1,-1)     **(worldRow,worldCol)
-1     **mission end day
0     **goldReward
null     **itemReward
none     **clearLocation
null     **target
none     **targetHolder
(-1,-1)     **(targetRow,targetCol)
false     **failed
