** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:0:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:0:(-1 -1 -1 ?):[]:[]
Kings Nidukborne:537:753:0:2:32:(2 0 30 fortress_center):[]:[]
Kings Nidukborne cesspool:9:52:2:3:45:(3 179 90 sewer):[[x=43,y=5]]:[]
Nuroram grotto:162:820:0:-1:37:(2 -1 -1 ?):[]:[]
Gerikat Town:72:606:0:-1:28:(2 -1 -1 ?):[]:[]
Kek quarry:474:999:0:-1:40:(2 -1 -1 ?):[]:[]
Cave of Caerbannog!:427:701:0:-1:38:(2 -1 -1 ?):[]:[]
Upper Takerak:74:634:0:-1:28:(2 -1 -1 ?):[]:[]
Takerak Hippodrome:74:632:0:-1:30:(2 -1 -1 ?):[]:[]
Mecud fount:668:672:0:-1:40:(2 -1 -1 ?):[]:[]
Samekur mine:744:579:0:-1:40:(2 -1 -1 ?):[]:[]
Fort Tobobshire:851:666:0:-1:28:(2 -1 -1 ?):[]:[]
Kodep shaft:374:533:0:-1:40:(2 -1 -1 ?):[]:[]
Betimip cave:682:333:0:-1:37:(2 -1 -1 ?):[]:[]
Mapipac Township:365:805:0:-1:24:(2 -1 -1 ?):[]:[]
Sekudep Mission:324:907:0:-1:26:(2 -1 -1 ?):[]:[]
Gidik burrow:784:454:0:-1:37:(2 -1 -1 ?):[]:[]
Gicolat burrow:922:392:0:-1:39:(2 -1 -1 ?):[]:[]
Tum fount:643:541:0:-1:40:(2 -1 -1 ?):[]:[]
Dragons Thadford:665:287:0:-1:28:(2 -1 -1 ?):[]:[]
Bipec cavern:149:898:0:-1:37:(2 -1 -1 ?):[]:[]
Riricdover Town:283:88:0:-1:23:(2 -1 -1 ?):[]:[]
Timuploch Township:188:492:0:-1:34:(2 -1 -1 ?):[]:[]
Gumas Field:312:31:0:-1:43:(2 -1 -1 ?):[]:[]
Ricir Chapel:906:870:0:-1:26:(2 -1 -1 ?):[]:[]
Rader cave:545:645:0:-1:38:(2 -1 -1 ?):[]:[]
Hidapem fort:949:162:0:-1:39:(2 -1 -1 ?):[]:[]
Das shaft:690:906:0:-1:40:(2 -1 -1 ?):[]:[]
Hisib cave:959:30:0:-1:37:(2 -1 -1 ?):[]:[]
Cimas Manor:960:720:0:-1:26:(2 -1 -1 ?):[]:[]
Sodet fort:691:999:0:-1:39:(2 -1 -1 ?):[]:[]
Copon fount:655:666:0:-1:40:(2 -1 -1 ?):[]:[]
Lodibek Encampment:481:677:0:-1:44:(2 -1 -1 ?):[]:[]
Middle Stulopup:511:903:0:-1:23:(2 -1 -1 ?):[]:[]
Goseluk Township:221:28:0:-1:24:(2 -1 -1 ?):[]:[]
Hacorem cavern:521:934:0:-1:37:(2 -1 -1 ?):[]:[]
Ticom Pitch:546:532:0:-1:44:(2 -1 -1 ?):[]:[]
Felamer Proper:174:569:0:-1:24:(2 -1 -1 ?):[]:[]
