*monster-name* RALPH
*image-set-index* 7
*animation-delay* 10
*stomp-power* 200
*speed-penalty* 0
*reload-time* 200
*autostomp-power* 90
*projectile-type* BEAM
*burn-damage* 0
*head360* false
*isSwimmer* false
*isFlyer* false
*isDigger* false
*isThrower* false
*isShooter* false
*canSplit* false
*healInWater* false
*isAmbidextorous* false
*damageInWater* false
*lessAppetite* true
*imperviousToBullets* false
*isFragile* false
*slimeTrail* false
*energyAbsorber* false
*canEatAll* true
*mindControl* false
*cantGrab* false
